pop2023,growthRate,country,cca3,region,subregion,landAreaKm,ranking.22,ranking.21,ranking.20,Education.Foreignborn,Education.Nativeborn,Migration.1,HDI.HDI,HDI.Mean_years_of_schooling,HDI.GNI,Happiness.Happiness2021,Happiness.Happiness2020,Happiness.ScoreChange
34308525,0.01091,Malaysia,MYS,Asia,South-Eastern Asia,328550,,,,,,,0.803,10.6,26658,5.384,5.384,0.000
20931751,0.0258,Malawi,MWI,Africa,Eastern Africa-Sub-Saharan Africa,94280,,,,,,,,,,3.6,3.538,0.062
30325732,0.02411,Madagascar,MDG,Africa,Eastern Africa-Sub-Saharan Africa,581800,,,,,,,,,,4.208,4.166,0.042
654768,0.01107,Luxembourg,LUX,Europe,Western Europe,2574.5,93,98,103,84.7,87.7,20970,0.930,13.0,84649,7.324,7.238,0.086
2718352,-0.01153,Lithuania,LTU,Europe,Northern Europe,62620,48,76,54,83.7,91.6,,0.875,13.5,37931,6.255,6.215,0.040
6888388,0.01116,Libya,LBY,Africa,Northern Africa,1759540,,,,,,,,,,5.41,5.489,-0.079
5418377,0.02182,Liberia,LBR,Africa,Western Africa-Sub-Saharan Africa,96320,,,,,,,,,,4.625,4.558,0.067
2330318,0.01062,Lesotho,LSO,Africa,Southern Africa-Sub-Saharan Africa,30360,,,,,,,,,,3.512,3.653,-0.141
5353930,-0.02474,Lebanon,LBN,Asia,Western Asia-The Middle East,10230,,,,,,,,,,4.584,4.772,-0.188
1830211,-0.01105,Latvia,LVA,Europe,Northern Europe,62230,63,48,67,81,89.9,4560,0.863,13.3,32803,6.032,5.95,0.082
7633779,0.01385,Laos,LAO,Asia,South-Eastern Asia,230800,,,,,,,,,,5.03,4.889,0.141
6735347,0.01579,Kyrgyzstan,KGZ,Asia,Central Asia-South Central Asia,191800,76,73,76,,,,,,,5.744,5.542,0.202
4310108,0.00966,Kuwait,KWT,Asia,Western Asia-The Middle East,17820,,,,,,,0.831,7.3,52920,6.106,6.102,0.004
55100586,0.01986,Kenya,KEN,Africa,Eastern Africa-Sub-Saharan Africa,569140,,103,104,,,,,,,4.607,4.583,0.024
19606633,0.01076,Kazakhstan,KAZ,Asia,Central Asia,2699700,17,20,21,,,,0.811,12.3,23943,6.152,6.058,0.094
11337052,0.00454,Jordan,JOR,Asia,Western Asia-The Middle East,88794,,,,,,,,,,4.395,4.633,-0.238
